NE	NETitle	Genre	Rubric	MultiRubric	Words	Sents	Chars	Tags
4	0	Статьи	Науки о земле	One	525	26	3964	5
3	0	Статьи	Биология	Multi	1386	87	9160	3
8	0	Статьи	Технологии	One	3339	141	23753	8
11	0	Статьи	Химия	Multi	1182	70	8755	3
4	0	Блоги	Футурология	One	1383	85	10050	3
6	0	Блоги	Технологии	Multi	1294	68	9196	5
0	0	Блоги	Технологии	Multi	1976	95	14271	4
2	0	Блоги	Computer Science	One	838	40	5778	3
1	0	Блоги	Мусор	One	1289	77	8768	3
3	0	Блоги	Мусор	One	1690	114	12472	3
2	0	Блоги	Космос	One	1546	104	11376	3
2	0	Блоги	Биология	One	1260	82	9403	3
4	0	Блоги	Физиология человека	One	608	36	4559	3
2	0	Блоги	Биология	Multi	336	25	2662	4
3	0	Блоги	Биология	Multi	352	25	2505	4
5	0	Блоги	Технологии	One	1667	114	12727	3
1	0	Блоги	Технологии	One	2042	116	14262	4
4	0	Блоги	Мусор	One	994	62	7106	3
4	0	Блоги	Технологии	One	1160	64	8052	5
10	0	Блоги	Технологии	One	646	35	4837	5
3	0	Блоги	Технологии	Multi	409	26	3072	5
0	0	Блоги	Науки о земле	One	413	25	3200	3
0	0	Блоги	Технологии	One	1320	82	9222	4
35	1	Блоги	Технологии	One	1590	100	12424	5
10	1	Статьи	Науки о земле	One	1549	111	11191	1
6	1	Статьи	Биология	One	612	30	4687	1
57	1	Статьи	Биология	One	1789	84	12357	1
5	0	Статьи	Мусор	One	456	30	3352	1
3	0	Статьи	Космос	One	737	39	5652	1
12	1	Статьи	Химия	One	791	48	5939	1
2	0	Статьи	Физиология человека	One	1575	99	10963	1
1	0	Статьи	Мусор	One	267	16	1857	1
3	0	Статьи	Мусор	One	609	40	4180	1
2	0	Статьи	Мусор	One	2175	141	15428	1
14	1	Статьи	Computer Science	One	846	48	5677	1
2	0	Статьи	Космос	One	508	30	3498	1
2	0	Статьи	Мусор	One	234	12	1660	1
30	0	Статьи	Физика	One	529	33	3983	1
8	0	Статьи	Физиология человека	One	1597	99	10520	1
21	0	Статьи	Физика	One	636	37	4661	1
2	0	Статьи	Мусор	One	516	31	3597	1
7	0	Статьи	Технологии	One	178	8	1366	1
3	1	Статьи	Биология	One	2095	158	14170	1
2	0	Статьи	Технологии	One	999	53	7624	1
41	1	Статьи	Физика	One	848	49	6036	1
23	1	Статьи	Физика	One	861	53	5891	1
11	0	Статьи	Физиология человека	One	1116	71	8312	1
29	0	Статьи	Мусор	One	1190	81	8808	1
5	0	Новости	Язык	One	283	20	1981	2
5	0	Новости	История	One	247	19	1808	2
3	0	Новости	Технологии	One	646	41	4872	2
1	0	Новости	Мусор	One	326	17	2495	1
15	0	Новости	Мусор	One	487	29	3650	0
2	0	Новости	Биология	One	337	22	2457	1
9	0	Статьи	Мусор	One	1770	91	13101	2
8	0	Статьи	Мусор	One	510	45	3917	2
5	0	Статьи	Мусор	One	741	53	5777	1
6	0	Статьи	Космос	Multi	1971	91	14528	3
7	0	Статьи	Технологии	One	465	28	3692	1
7	0	Статьи	Мусор	One	395	30	2887	1
19	1	Статьи	Мусор	One	1337	67	9496	1
5	0	Статьи	Космос	One	2153	124	15418	3
51	0	Статьи	Мусор	One	3198	158	24681	2
8	0	Статьи	Мусор	One	536	32	4087	1
7	0	Статьи	Мусор	One	2096	112	15842	1
6	0	Статьи	Космос	One	1577	69	10809	2
12	0	Статьи	Мусор	One	769	31	5880	0
3	1	Статьи	Мусор	One	143	8	1076	1
36	0	Статьи	Космос	Multi	3446	230	23972	3
6	0	Статьи	Мусор	One	688	36	4670	1
1	0	Статьи	Мусор	One	838	72	5890	2
10	0	Статьи	Технологии	One	2924	176	19625	2
20	0	Статьи	Мусор	One	1440	80	10508	1
2	0	Статьи	Космос	Multi	1212	56	9439	2
28	0	Статьи	История	One	1623	82	11564	3
51	0	Статьи	Психология	Multi	2304	102	16798	3
4	0	Статьи	Космос	Multi	1272	66	9008	2
2	0	Статьи	Мусор	One	297	14	2148	1
32	0	Лекции	Науки о земле	One	5947	362	41447	3
1	0	видео	Физика	One	992	63	6897	1
2	0	видео	Биология	One	1007	50	7352	1
4	0	видео	Физика	One	1064	63	8211	1
3	0	видео	Социология	One	1376	58	9656	1
3	0	FAQ	Физиология человека	One	895	61	6883	1
5	0	FAQ	Космос	One	750	48	5371	1
53	0	журнал	Экономика	One	3411	182	25619	1
190	0	журнал	Космос	One	4770	295	34701	1
13	0	журнал	Социология	One	4104	213	30659	1
18	0	журнал	История	One	4095	174	30020	1
7	0	журнал	Язык	One	1995	94	13968	1
16	0	журнал	Социология	One	4057	216	29342	1
12	0	журнал	Социология	One	1744	108	13934	1
2	0	журнал	Биология	One	2183	119	16557	1
11	0	журнал	Язык	One	1878	104	14352	1
33	0	журнал	Социология	One	1346	64	10700	1
7	0	журнал	История	One	2456	123	19125	1
4	0	журнал	Социология	One	2616	119	18709	1
4	0	журнал	Психология	One	1907	98	14507	1
18	0	журнал	Биология	One	2743	132	19858	1
2	0	журнал	Мусор	One	2154	142	16657	0
7	0	журнал	Физика	One	3304	162	24273	1
1	0	журнал	Философия	One	6069	246	46119	1
27	0	журнал	Биология	One	2233	122	15995	1
59	0	журнал	Культура	One	2998	183	20836	1
15	0	журнал	Биология	One	2150	145	17629	1
2	0	журнал	Философия	One	1362	70	11296	1
5	0	журнал	Физика	One	1998	110	15101	1
17	1	talks	Культура	One	2734	163	19221	1
7	1	talks	Физика	One	2431	194	15363	1
12	1	talks	Культура	One	4339	277	29201	1
3	1	talks	Космос	One	2276	181	14468	1
3	1	talks	Культура	One	2812	143	19851	1
2	1	talks	История	One	3046	198	20302	1
1	0	talks	Язык	One	2086	119	14217	1
3	0	talks	Социология	One	1487	100	10772	1
2	1	talks	Биология	One	2450	148	16279	1
